"dt","LandAverageTemperature"
1990-01-01,3.243
1990-02-01,3.643
1990-03-01,6.73
1990-04-01,9.169
1990-05-01,11.831
1990-06-01,13.893
1990-07-01,14.784
1990-08-01,14.095
1990-09-01,12.195
1990-10-01,9.882
1990-11-01,6.92
1990-12-01,4.425
1991-01-01,3.195
1991-02-01,4.044
1991-03-01,5.574
1991-04-01,9.226
1991-05-01,11.616
1991-06-01,14.263
1991-07-01,14.987
1991-08-01,14.319
1991-09-01,12.677
1991-10-01,9.753
1991-11-01,6.44
1991-12-01,4.059
1992-01-01,3.579
1992-02-01,3.931
1992-03-01,5.952
1992-04-01,8.572
1992-05-01,11.535
1992-06-01,13.576
1992-07-01,14.139
1992-08-01,13.766
1992-09-01,11.672
1992-10-01,9.353
1992-11-01,5.889
1992-12-01,4.075
1993-01-01,3.301
1993-02-01,3.745
1993-03-01,5.923
1993-04-01,8.69
1993-05-01,11.475
1993-06-01,13.518
1993-07-01,14.595
1993-08-01,13.835
1993-09-01,11.93
1993-10-01,9.614
1993-11-01,5.738
1993-12-01,4.035
1994-01-01,3.024
1994-02-01,2.81
1994-03-01,5.731
1994-04-01,9.018
1994-05-01,11.684
1994-06-01,14.144
1994-07-01,14.658
1994-08-01,13.977
1994-09-01,12.516
1994-10-01,10.002
1994-11-01,6.788
1994-12-01,4.113
1995-01-01,3.54
1995-02-01,4.656
1995-03-01,5.956
1995-04-01,8.972
1995-05-01,11.57
1995-06-01,14.164
1995-07-01,15.116
1995-08-01,14.636
1995-09-01,12.565
1995-10-01,10.106
1995-11-01,6.761
1995-12-01,4.123
1996-01-01,2.862
1996-02-01,4.012
1996-03-01,5.524
1996-04-01,8.679
1996-05-01,11.588
1996-06-01,13.681
1996-07-01,14.827
1996-08-01,14.603
1996-09-01,12.294
1996-10-01,9.525
1996-11-01,6.547
1996-12-01,4.325
1997-01-01,3.165
1997-02-01,3.766
1997-03-01,6.012
1997-04-01,8.891
1997-05-01,11.593
1997-06-01,14.131
1997-07-01,14.565
1997-08-01,14.256
1997-09-01,12.685
1997-10-01,10.109
1997-11-01,6.841
1997-12-01,4.417
1998-01-01,3.352
1998-02-01,4.826
1998-03-01,6.023
1998-04-01,9.358
1998-05-01,12.291
1998-06-01,14.521
1998-07-01,15.34
1998-08-01,14.874
1998-09-01,12.673
1998-10-01,9.941
1998-11-01,6.404
1998-12-01,4.669
1999-01-01,3.544
1999-02-01,4.694
1999-03-01,5.53
1999-04-01,8.838
1999-05-01,11.706
1999-06-01,14.031
1999-07-01,14.853
1999-08-01,14.348
1999-09-01,12.723
1999-10-01,9.997
1999-11-01,6.592
1999-12-01,4.565
2000-01-01,2.95
2000-02-01,4.184
2000-03-01,6.219
2000-04-01,9.552
2000-05-01,11.874
2000-06-01,14.06
2000-07-01,14.848
2000-08-01,14.519
2000-09-01,12.547
2000-10-01,9.486
2000-11-01,6.312
2000-12-01,3.863
2001-01-01,3.336
2001-02-01,3.72
2001-03-01,6.208
2001-04-01,9.245
2001-05-01,12.271
2001-06-01,14.11
2001-07-01,15.161
2001-08-01,14.427
2001-09-01,12.736
2001-10-01,9.935
2001-11-01,7.319
2001-12-01,4.507
2002-01-01,4.026
2002-02-01,4.704
2002-03-01,6.772
2002-04-01,9.229
2002-05-01,12.248
2002-06-01,14.084
2002-07-01,15.354
2002-08-01,14.56
2002-09-01,12.95
2002-10-01,9.988
2002-11-01,6.892
2002-12-01,4.038
2003-01-01,3.981
2003-02-01,4.085
2003-03-01,6.048
2003-04-01,9.154
2003-05-01,12.153
2003-06-01,14.017
2003-07-01,14.983
2003-08-01,14.691
2003-09-01,12.911
2003-10-01,10.424
2003-11-01,6.727
2003-12-01,5.133
2004-01-01,3.525
2004-02-01,4.499
2004-03-01,6.321
2004-04-01,9.249
2004-05-01,11.571
2004-06-01,13.889
2004-07-01,14.312
2004-08-01,14.188
2004-09-01,12.642
2004-10-01,10.127
2004-11-01,7.315
2004-12-01,4.257
2005-01-01,3.808
2005-02-01,3.92
2005-03-01,6.544
2005-04-01,9.618
2005-05-01,12.226
2005-06-01,14.476
2005-07-01,15.19
2005-08-01,14.51
2005-09-01,13.217
2005-10-01,10.601
2005-11-01,7.423
2005-12-01,4.878
2006-01-01,3.286
2006-02-01,4.43
2006-03-01,6.329
2006-04-01,9.055
2006-05-01,11.786
2006-06-01,14.443
2006-07-01,15.042
